18.3068 3.31 17.3225 21.98 28.874 23.52 62.19 35.82 57.7743 0.386 72.37 35.245 11.628
18.3039 3.41 17.7295 22.49 29.2973 23.99 62.16 36.18 58.2728 0.391 73.24 36.18 11.892
18.56 3.47 18.054 22.67 29.7388 24.205 64.32 36.56 61.4257 0.3967 74.41 37.0175 12.4353
18.8925 3.63 18.0435 22.83 29.6249 24.29 63.548 36.8 61.4914 0.398 74.69 37.4 13.104
19.1414 3.7 18.0895 22.71 30.0606 24.47 64.851 37.175 61.9986 0.4062 75.62 37.25 13.108
19.14 3.69 17.4625 22.85 29.9725 24.55 64.45 37.47 61.2757 0.4207 76.42 36.955 13.0213
19.4439 3.7 17.86 22.27 30.3061 24.7 67.33 37.61 62.3643 0.434 76.44 37.345 13.3087
19.4282 3.69 17.8675 22.56 30.3794 24.755 67.09 37.62 62.2157 0.4477 76.28 37.515 13.2153
19.4997 3.7 17.6825 22.41 30.5834 24.76 67.3 37.42 62.4071 0.4475 75.6 36.985 13.58
19.1918 3.72 17.369 22.28 30.3677 24.5 68.06 37.51 61.1757 0.4535 75.77 36.66 12.9093
18.9697 3.69 17.49 22.3 30.4124 24.74 69.63 37.75 62.1357 0.4695 75.95 36.775 13.998
18.7589 3.69 17.338 22.13 30.4044 24.42 68.59 37.98 61.7471 0.466 75.61 36.28 13.9733
18.8411 3.71 17.589 22.12 30.6246 24.63 70.78 37.69 63.8571 0.4728 75.43 36.28 14.51
18.645 3.69 17.916 21.84 30.8138 24.62 69.85 37.54 64.7186 0.4685 74.91 35.275 16.5333
18.4768 3.7 17.99 21.93 30.8181 24.8 69.26 37.47 64.1128 0.4677 75.05 35.89 16.8667
18.8454 3.71 18.0065 21.92 30.7938 24.76 68.94 37.86 64.6043 0.4625 75.19 36.095 16.836
18.7943 3.71 18.105 21.8 30.7039 24.76 68.46 38.31 63.6614 0.4595 75.29 35.48 16.3207
18.8486 3.67 17.989 21.57 30.3766 24.5 67.41 37.78 63.6557 0.4572 73.63 35.235 16.704
18.9729 3.7 18.195 21.82 30.6852 24.61 68.8 38.41 64.9971 0.462 76.11 35.83 16.9893
19.0129 3.71 18.6185 21.87 30.7698 24.5 71.57 38.11 64.7857 0.466 76.67 35.65 16.844
18.9554 3.73 18.608 21.82 30.8039 24.63 70.84 38.15 64.3586 0.4595 77.0 36.345 16.8627
18.9443 3.95 18.603 21.73 30.6822 24.64 69.8 37.9 64.0528 0.459 76.79 36.535 16.414
18.9614 3.81 18.5265 21.69 30.6009 24.84 72.03 37.82 62.85 0.4522 77.07 36.78 15.9227
19.1461 3.85 18.441 21.61 30.3084 24.73 70.1 38.02 62.4971 0.4567 76.71 37.515 15.6273
19.1647 3.91 18.532 21.82 30.493 24.76 70.8799 38.27 62.3686 0.458 76.97 37.815 16.0993
18.9518 3.86 18.5755 21.52 30.0323 24.57 68.83 37.89 61.4371 0.4435 75.63 37.215 15.8527
18.7389 3.85 18.687 21.3499 29.6216 24.5 67.72 37.7 60.6414 0.4455 74.74 37.135 15.398
18.8122 3.8 18.752 21.51 30.1091 24.7 68.7399 38.05 60.3886 0.4455 77.02 37.09 15.5987
18.9786 3.89 18.9385 21.63 30.593 24.82 69.19 39.55 60.0357 0.456 77.45 37.3 16.0027
18.9736 3.98 18.6615 21.63 30.2897 25.02 68.24 39.27 60.0128 0.4639 76.805 37.955 15.7227
18.8822 4.05 18.4485 21.83 30.2369 25.425 66.97 40.33 60.61 0.4642 78.1 38.4775 15.6607
19.0311 4.04 18.031 21.64 29.8803 25.17 67.24 40.16 57.9986 0.4635 78.19 38.355 15.2593
19.2568 4.05 17.5925 21.57 29.2461 25.12 64.1 40.5 54.1286 0.4612 77.74 37.885 14.678
19.4639 4.05 17.7355 22.34 29.266 25.46 64.89 40.34 52.9771 0.4612 78.56 37.305 14.696
19.2779 4.05 17.1705 22.32 28.5904 25.3772 60.385 39.79 53.1828 0.4508 78.31 36.77 14.1973
19.195 3.91 16.9235 22.02 28.1436 25.31 60.97 39.36 52.0257 0.4447 79.05 36.7 13.8213
19.1736 3.88 16.9145 22.33 28.2919 25.62 60.01 40.3 51.2671 0.4475 79.28 36.85 14.158
19.1693 4.01 16.8183 22.415 28.1494 25.814 60.24 40.99 50.29 0.4477 78.86 36.69 13.8967
19.3447 4.07 17.1495 23.1 28.6641 25.99 62.62 41.42 52.0986 0.4662 80.1 37.005 14.4647
19.3768 4.06 17.098 22.99 28.6694 25.89 62.72 41.35 51.84 0.4633 80.14 36.835 15.3527
19.2425 4.0 16.681 23.09 28.575 26.41 59.49 41.01 50.67 0.4682 80.55 36.545 15.0267
18.9936 4.01 16.15 22.7117 27.2625 26.16 56.749 39.87 48.1871 0.4537 78.53 35.775 14.1483
18.6954 3.88 15.888 22.85 27.0315 26.485 56.95 39.8 48.2857 0.4553 78.08 35.215 13.8347
18.6943 3.99 16.3535 22.94 27.8755 26.91 58.1901 39.82 49.8414 0.4715 78.89 35.74 14.364
18.94 3.98 16.5903 23.12 28.352 26.98 62.41 40.47 50.4328 0.471 79.93 36.24 14.462
18.6957 3.85 15.8555 22.65 27.3345 26.425 59.16 39.36 47.8186 0.4595 78.07 35.11 13.6127
18.5575 3.65 15.5865 22.46 26.888 26.1799 58.53 39.209 46.6728 0.453 78.01 34.365 13.5853
18.6314 3.71 15.7955 22.85 27.26 26.56 58.89 39.18 47.3686 0.458 79.14 34.655 13.206
18.4986 3.79 15.804 22.89 27.435 26.77 59.09 39.75 46.61 0.4612 79.49 34.445 12.9273
